Cod_Cliente,Tipo_Id,Num_Id,Nombre_Completo,Correo,Estado,Fecha_Registro
C-36,CC,90782519,Cliente 36,contacto36@mail.com,Activo,2023-10-10
C-37,CC,21561678,Cliente 37,contacto37@mail.com,Activo,2023-10-10
C-38,CC,55992734,Cliente 38,contacto38@mail.com,Activo,2023-10-10
C-39,CC,57689140,Cliente 39,contacto39@mail.com,Activo,2023-10-10
C-40,CC,94559545,Cliente 40,contacto40@mail.com,Activo,2023-10-10
C-41,CC,89464511,Cliente 41,contacto41@mail.com,Activo,2023-10-10
C-42,CC,81989764,Cliente 42,contacto42@mail.com,Activo,2023-10-10
C-43,CC,96314144,Cliente 43,contacto43@mail.com,Activo,2023-10-10
C-44,CC,28374526,Cliente 44,contacto44@mail.com,Activo,2023-10-10
C-45,CC,21171685,Cliente 45,contacto45@mail.com,Activo,2023-10-10
C-46,CC,79828516,Cliente 46,contacto46@mail.com,Activo,2023-10-10
C-47,CC,87764330,Cliente 47,contacto47@mail.com,Activo,2023-10-10
C-48,CC,39125196,Cliente 48,contacto48@mail.com,Activo,2023-10-10
C-49,CC,52574156,Cliente 49,contacto49@mail.com,Activo,2023-10-10
C-50,CC,67270443,Cliente 50,contacto50@mail.com,Activo,2023-10-10
C-51,CC,17890626,Cliente 51,contacto51@mail.com,Activo,2023-10-10
C-52,CC,29642539,Cliente 52,contacto52@mail.com,Activo,2023-10-10
C-53,CC,59829547,Cliente 53,contacto53@mail.com,Activo,2023-10-10
C-54,CC,54044884,Cliente 54,contacto54@mail.com,Activo,2023-10-10
C-55,CC,99111363,Cliente 55,contacto55@mail.com,Activo,2023-10-10
C-56,CC,84670694,Cliente 56,contacto56@mail.com,Activo,2023-10-10
C-57,CC,26086285,Cliente 57,contacto57@mail.com,Activo,2023-10-10
C-58,CC,49289116,Cliente 58,contacto58@mail.com,Activo,2023-10-10
C-59,CC,46904807,Cliente 59,contacto59@mail.com,Activo,2023-10-10
C-60,CC,59868329,Cliente 60,contacto60@mail.com,Activo,2023-10-10
C-61,CC,38777953,Cliente 61,contacto61@mail.com,Activo,2023-10-10
C-62,CC,83297771,Cliente 62,contacto62@mail.com,Activo,2023-10-10
C-63,CC,57343006,Cliente 63,contacto63@mail.com,Activo,2023-10-10
C-64,CC,16715522,Cliente 64,contacto64@mail.com,Activo,2023-10-10
C-65,CC,57295301,Cliente 65,contacto65@mail.com,Activo,2023-10-10
C-66,CC,87587279,Cliente 66,contacto66@mail.com,Activo,2023-10-10
C-67,CC,97358064,Cliente 67,contacto67@mail.com,Activo,2023-10-10
C-68,CC,52918540,Cliente 68,contacto68@mail.com,Activo,2023-10-10
C-69,CC,25342094,Cliente 69,contacto69@mail.com,Activo,2023-10-10
C-70,CC,72064330,Cliente 70,contacto70@mail.com,Activo,2023-10-10
C-71,CC,49056660,Cliente 71,contacto71@mail.com,Activo,2023-10-10
C-72,CC,15078571,Cliente 72,contacto72@mail.com,Activo,2023-10-10
C-73,CC,63065783,Cliente 73,contacto73@mail.com,Activo,2023-10-10
C-74,CC,65854549,Cliente 74,contacto74@mail.com,Activo,2023-10-10
C-75,CC,82339583,Cliente 75,contacto75@mail.com,Activo,2023-10-10
C-76,CC,63286104,Cliente 76,contacto76@mail.com,Activo,2023-10-10
C-77,CC,62361202,Cliente 77,contacto77@mail.com,Activo,2023-10-10
C-78,CC,98224958,Cliente 78,contacto78@mail.com,Activo,2023-10-10
C-79,CC,58331051,Cliente 79,contacto79@mail.com,Activo,2023-10-10
C-80,CC,14983646,Cliente 80,contacto80@mail.com,Activo,2023-10-10
C-81,CC,17117496,Cliente 81,contacto81@mail.com,Activo,2023-10-10
C-82,CC,43971670,Cliente 82,contacto82@mail.com,Activo,2023-10-10
C-83,CC,12871570,Cliente 83,contacto83@mail.com,Activo,2023-10-10
C-84,CC,56418888,Cliente 84,contacto84@mail.com,Activo,2023-10-10
C-85,CC,31699199,Cliente 85,contacto85@mail.com,Activo,2023-10-10
C-86,CC,98440638,Cliente 86,contacto86@mail.com,Activo,2023-10-10
C-87,CC,15743189,Cliente 87,contacto87@mail.com,Activo,2023-10-10
C-88,CC,57614683,Cliente 88,contacto88@mail.com,Activo,2023-10-10
C-89,CC,36749962,Cliente 89,contacto89@mail.com,Activo,2023-10-10
C-90,CC,36670922,Cliente 90,contacto90@mail.com,Activo,2023-10-10
C-91,CC,99225134,Cliente 91,contacto91@mail.com,Activo,2023-10-10
C-92,CC,39689316,Cliente 92,contacto92@mail.com,Activo,2023-10-10
C-93,CC,52961511,Cliente 93,contacto93@mail.com,Activo,2023-10-10
C-94,CC,86118069,Cliente 94,contacto94@mail.com,Activo,2023-10-10
C-95,CC,39304627,Cliente 95,contacto95@mail.com,Activo,2023-10-10
C-96,CC,47497889,Cliente 96,contacto96@mail.com,Activo,2023-10-10
C-97,CC,47956981,Cliente 97,contacto97@mail.com,Activo,2023-10-10
C-98,CC,87303222,Cliente 98,contacto98@mail.com,Activo,2023-10-10
C-99,CC,90372913,Cliente 99,contacto99@mail.com,Activo,2023-10-10
C-100,CC,14519744,Cliente 100,contacto100@mail.com,Activo,2023-10-10
C-101,CC,65480064,Cliente 101,contacto101@mail.com,Activo,2023-10-10
C-102,CC,69749513,Cliente 102,contacto102@mail.com,Activo,2023-10-10
C-103,CC,56500552,Cliente 103,contacto103@mail.com,Activo,2023-10-10
C-104,CC,81426415,Cliente 104,contacto104@mail.com,Activo,2023-10-10
C-105,CC,96609270,Cliente 105,contacto105@mail.com,Activo,2023-10-10
C-106,CC,89062590,Cliente 106,contacto106@mail.com,Activo,2023-10-10
C-107,CC,28457915,Cliente 107,contacto107@mail.com,Activo,2023-10-10
C-108,CC,40587000,Cliente 108,contacto108@mail.com,Activo,2023-10-10
C-109,CC,78956003,Cliente 109,contacto109@mail.com,Activo,2023-10-10
C-110,CC,61853582,Cliente 110,contacto110@mail.com,Activo,2023-10-10
C-111,CC,30334404,Cliente 111,contacto111@mail.com,Activo,2023-10-10
C-112,CC,60876189,Cliente 112,contacto112@mail.com,Activo,2023-10-10
C-113,CC,50452340,Cliente 113,contacto113@mail.com,Activo,2023-10-10
C-114,CC,17869988,Cliente 114,contacto114@mail.com,Activo,2023-10-10
C-115,CC,28820314,Cliente 115,contacto115@mail.com,Activo,2023-10-10
C-116,CC,18517552,Cliente 116,contacto116@mail.com,Activo,2023-10-10
C-117,CC,55459065,Cliente 117,contacto117@mail.com,Activo,2023-10-10
C-118,CC,88313546,Cliente 118,contacto118@mail.com,Activo,2023-10-10
C-119,CC,78058248,Cliente 119,contacto119@mail.com,Activo,2023-10-10
C-120,CC,78442756,Cliente 120,contacto120@mail.com,Activo,2023-10-10
C-121,CC,27753823,Cliente 121,contacto121@mail.com,Activo,2023-10-10
C-122,CC,51471715,Cliente 122,contacto122@mail.com,Activo,2023-10-10
C-123,CC,96692698,Cliente 123,contacto123@mail.com,Activo,2023-10-10
C-124,CC,29919634,Cliente 124,contacto124@mail.com,Activo,2023-10-10
C-125,CC,92280777,Cliente 125,contacto125@mail.com,Activo,2023-10-10
C-126,CC,48967180,Cliente 126,contacto126@mail.com,Activo,2023-10-10
C-127,CC,60143334,Cliente 127,contacto127@mail.com,Activo,2023-10-10
C-128,CC,23994427,Cliente 128,contacto128@mail.com,Activo,2023-10-10
C-129,CC,53477158,Cliente 129,contacto129@mail.com,Activo,2023-10-10
C-130,CC,59248087,Cliente 130,contacto130@mail.com,Activo,2023-10-10
C-131,CC,22383022,Cliente 131,contacto131@mail.com,Activo,2023-10-10
C-132,CC,35567145,Cliente 132,contacto132@mail.com,Activo,2023-10-10
C-133,CC,11603278,Cliente 133,contacto133@mail.com,Activo,2023-10-10
C-134,CC,51636184,Cliente 134,contacto134@mail.com,Activo,2023-10-10
C-135,CC,34950324,Cliente 135,contacto135@mail.com,Activo,2023-10-10
C-136,CC,77659468,Cliente 136,contacto136@mail.com,Activo,2023-10-10
C-137,CC,78729427,Cliente 137,contacto137@mail.com,Activo,2023-10-10
C-138,CC,86212673,Cliente 138,contacto138@mail.com,Activo,2023-10-10
C-139,CC,74425973,Cliente 139,contacto139@mail.com,Activo,2023-10-10
C-140,CC,25982284,Cliente 140,contacto140@mail.com,Activo,2023-10-10
C-141,CC,25925375,Cliente 141,contacto141@mail.com,Activo,2023-10-10
C-142,CC,87953744,Cliente 142,contacto142@mail.com,Activo,2023-10-10
C-143,CC,29159943,Cliente 143,contacto143@mail.com,Activo,2023-10-10
C-144,CC,98700882,Cliente 144,contacto144@mail.com,Activo,2023-10-10
C-145,CC,55573981,Cliente 145,contacto145@mail.com,Activo,2023-10-10
C-146,CC,85088718,Cliente 146,contacto146@mail.com,Activo,2023-10-10
C-147,CC,68149273,Cliente 147,contacto147@mail.com,Activo,2023-10-10
C-148,CC,82127858,Cliente 148,contacto148@mail.com,Activo,2023-10-10
C-149,CC,97148581,Cliente 149,contacto149@mail.com,Activo,2023-10-10

